session_id,site1,time1,site2,time2,site3,time3,site4,time4,site5,time5,site6,time6,site7,time7,site8,time8,site9,time9,site10,time10,target
15,962,12/02/2013 9:38,962,12/02/2013 9:38,962,12/02/2013 9:38,962,12/02/2013 9:38,962,12/02/2013 9:38,962,12/02/2013 9:38,962,12/02/2013 9:38,962,12/02/2013 9:38,962,12/02/2013 9:38,37,12/02/2013 9:39,0
16,363,12/02/2013 9:59,167,12/02/2013 9:59,363,12/02/2013 9:59,363,12/02/2013 9:59,167,12/02/2013 9:59,167,12/02/2013 9:59,363,12/02/2013 9:59,362,12/02/2013 9:59,360,12/02/2013 9:59,167,12/02/2013 9:59,0
17,15601,12/02/2013 10:03,15601,12/02/2013 10:03,15601,12/02/2013 10:03,15601,12/02/2013 10:03,15601,12/02/2013 10:03,15601,12/02/2013 10:03,4314,12/02/2013 10:03,52,12/02/2013 10:04,53,12/02/2013 10:04,21,12/02/2013 10:04,0
18,940,12/02/2013 10:05,941,12/02/2013 10:05,3876,12/02/2013 10:05,21,12/02/2013 10:05,942,12/02/2013 10:05,941,12/02/2013 10:05,940,12/02/2013 10:05,940,12/02/2013 10:05,942,12/02/2013 10:05,941,12/02/2013 10:05,0
19,167,12/02/2013 10:05,363,12/02/2013 10:05,167,12/02/2013 10:05,167,12/02/2013 10:05,363,12/02/2013 10:05,363,12/02/2013 10:05,167,12/02/2013 10:05,363,12/02/2013 10:05,360,12/02/2013 10:05,364,12/02/2013 10:05,0
20,23,12/02/2013 10:24,21,12/02/2013 10:24,37,12/02/2013 10:25,21,12/02/2013 10:25,23,12/02/2013 10:38,21,12/02/2013 10:38,21,12/02/2013 10:38,2359,12/02/2013 10:38,21,12/02/2013 10:40,21,12/02/2013 10:41,0
21,80,12/02/2013 10:31,82,12/02/2013 10:31,776,12/02/2013 10:31,82,12/02/2013 10:31,80,12/02/2013 10:31,82,12/02/2013 10:31,80,12/02/2013 10:32,82,12/02/2013 10:32,82,12/02/2013 10:32,82,12/02/2013 10:32,0
22,814,12/02/2013 10:33,814,12/02/2013 10:33,814,12/02/2013 10:33,814,12/02/2013 10:33,814,12/02/2013 10:33,814,12/02/2013 10:33,616,12/02/2013 10:33,814,12/02/2013 10:33,814,12/02/2013 10:33,814,12/02/2013 10:33,0
23,2428,12/02/2013 10:37,812,12/02/2013 10:37,2428,12/02/2013 10:37,2428,12/02/2013 10:37,2428,12/02/2013 10:38,2428,12/02/2013 10:38,2428,12/02/2013 10:38,2428,12/02/2013 10:38,2428,12/02/2013 10:38,2428,12/02/2013 10:39,0
24,814,12/02/2013 10:37,814,12/02/2013 10:37,814,12/02/2013 10:37,814,12/02/2013 10:37,814,12/02/2013 10:37,814,12/02/2013 10:37,814,12/02/2013 10:37,814,12/02/2013 10:37,814,12/02/2013 10:37,814,12/02/2013 10:37,0
25,25633,12/02/2013 10:53,25634,12/02/2013 10:53,25633,12/02/2013 10:53,25633,12/02/2013 10:53,25633,12/02/2013 10:53,25634,12/02/2013 10:53,25634,12/02/2013 10:54,890,12/02/2013 10:54,25633,12/02/2013 10:54,896,12/02/2013 10:54,0
26,465,12/02/2013 10:53,3496,12/02/2013 10:53,2428,12/02/2013 10:53,2428,12/02/2013 10:53,2428,12/02/2013 10:53,125,12/02/2013 10:54,570,12/02/2013 10:54,2425,12/02/2013 10:54,2427,12/02/2013 10:54,2428,12/02/2013 10:54,0
27,570,12/02/2013 11:10,9908,12/02/2013 11:10,9908,12/02/2013 11:10,9909,12/02/2013 11:10,4238,12/02/2013 11:10,29,12/02/2013 11:10,37,12/02/2013 11:10,99,12/02/2013 11:11,37,12/02/2013 11:11,816,12/02/2013 11:13,0
28,3887,12/02/2013 11:23,3885,12/02/2013 11:23,3885,12/02/2013 11:23,3887,12/02/2013 11:23,3885,12/02/2013 11:23,3885,12/02/2013 11:23,3885,12/02/2013 11:23,3887,12/02/2013 11:23,3885,12/02/2013 11:23,3885,12/02/2013 11:24,0
29,21,12/02/2013 11:27,9916,12/02/2013 11:27,9915,12/02/2013 11:27,9915,12/02/2013 11:27,21,12/02/2013 11:28,9915,12/02/2013 11:29,9915,12/02/2013 11:29,9916,12/02/2013 11:29,9915,12/02/2013 11:29,9915,12/02/2013 11:29,0
30,940,12/02/2013 11:30,941,12/02/2013 11:30,3560,12/02/2013 11:30,942,12/02/2013 11:30,3559,12/02/2013 11:30,3559,12/02/2013 11:30,3559,12/02/2013 11:30,940,12/02/2013 11:30,3560,12/02/2013 11:30,941,12/02/2013 11:30,0
31,22,12/02/2013 11:31,20390,12/02/2013 11:34,2127,12/02/2013 11:34,438,12/02/2013 11:34,2127,12/02/2013 11:34,20393,12/02/2013 11:34,7161,12/02/2013 11:34,30,12/02/2013 11:34,20391,12/02/2013 11:34,2127,12/02/2013 11:34,0
32,942,12/02/2013 11:32,3560,12/02/2013 11:32,941,12/02/2013 11:33,940,12/02/2013 11:33,942,12/02/2013 11:33,3559,12/02/2013 11:33,3560,12/02/2013 11:33,3560,12/02/2013 11:33,942,12/02/2013 11:33,3559,12/02/2013 11:33,0
33,440,12/02/2013 11:37,7161,12/02/2013 11:37,7161,12/02/2013 11:37,4758,12/02/2013 11:37,4758,12/02/2013 11:37,24043,12/02/2013 11:37,7161,12/02/2013 11:37,4758,12/02/2013 11:37,1009,12/02/2013 11:37,29,12/02/2013 11:37,0
34,4369,12/02/2013 11:50,38,12/02/2013 11:50,1677,12/02/2013 11:50,2225,12/02/2013 11:50,4369,12/02/2013 11:50,4368,12/02/2013 11:50,1677,12/02/2013 11:50,4369,12/02/2013 11:50,4366,12/02/2013 11:50,2225,12/02/2013 11:50,0
35,76,12/02/2013 11:54,75,12/02/2013 11:54,80,12/02/2013 11:54,52,12/02/2013 11:54,76,12/02/2013 11:54,75,12/02/2013 11:54,77,12/02/2013 11:54,77,12/02/2013 11:54,77,12/02/2013 11:55,240,12/02/2013 11:55,0
36,27502,12/02/2013 11:56,21,12/02/2013 11:56,21,12/02/2013 11:57,570,12/02/2013 11:57,15338,12/02/2013 11:57,21,12/02/2013 11:57,15338,12/02/2013 11:57,15338,12/02/2013 11:57,15338,12/02/2013 11:57,15338,12/02/2013 11:57,0
37,14,12/02/2013 12:19,2630,12/02/2013 12:19,2630,12/02/2013 12:19,2630,12/02/2013 12:19,2630,12/02/2013 12:19,18,12/02/2013 12:20,18,12/02/2013 12:20,12,12/02/2013 12:20,7,12/02/2013 12:20,2630,12/02/2013 12:20,0
38,27508,12/02/2013 12:27,23,12/02/2013 12:27,27508,12/02/2013 12:27,167,12/02/2013 12:27,3,12/02/2013 12:27,167,12/02/2013 12:27,167,12/02/2013 12:27,384,12/02/2013 12:27,27509,12/02/2013 12:27,29,12/02/2013 12:28,0
39,29,12/02/2013 12:41,29,12/02/2013 12:42,23,12/02/2013 12:42,37,12/02/2013 12:42,26,12/02/2013 12:42,26,12/02/2013 12:42,29,12/02/2013 12:42,35,12/02/2013 12:42,33,12/02/2013 12:42,23,12/02/2013 12:42,0
40,733,12/02/2013 12:49,37621,12/02/2013 12:50,37621,12/02/2013 12:50,37621,12/02/2013 12:51,37621,12/02/2013 12:52,37621,12/02/2013 12:52,37621,12/02/2013 12:52,37621,12/02/2013 12:52,1066,12/02/2013 12:52,37621,12/02/2013 12:52,0
41,6088,12/02/2013 12:54,7,12/02/2013 12:54,13121,12/02/2013 12:54,11,12/02/2013 12:54,10,12/02/2013 12:54,12,12/02/2013 12:54,3,12/02/2013 12:54,677,12/02/2013 12:54,14,12/02/2013 12:54,616,12/02/2013 12:54,0
42,881,12/02/2013 13:26,881,12/02/2013 13:26,80,12/02/2013 13:26,881,12/02/2013 13:26,77,12/02/2013 13:26,881,12/02/2013 13:26,812,12/02/2013 13:26,881,12/02/2013 13:26,676,12/02/2013 13:26,23,12/02/2013 13:26,0
43,53,12/02/2013 13:42,48,12/02/2013 13:42,52,12/02/2013 13:42,964,12/02/2013 13:43,965,12/02/2013 13:43,965,12/02/2013 13:43,964,12/02/2013 13:43,965,12/02/2013 13:43,983,12/02/2013 13:43,1004,12/02/2013 13:43,0
44,177,12/02/2013 13:57,23,12/02/2013 13:57,177,12/02/2013 13:57,175,12/02/2013 13:57,48,12/02/2013 13:57,677,12/02/2013 13:57,175,12/02/2013 13:57,178,12/02/2013 13:57,177,12/02/2013 13:57,175,12/02/2013 13:57,0
45,1104,12/02/2013 14:06,1007,12/02/2013 14:06,1104,12/02/2013 14:06,1104,12/02/2013 14:06,1104,12/02/2013 14:06,1007,12/02/2013 14:06,1106,12/02/2013 14:06,1007,12/02/2013 14:06,1104,12/02/2013 14:06,1105,12/02/2013 14:06,0
46,2362,12/02/2013 14:07,32,12/02/2013 14:07,33,12/02/2013 14:07,29,12/02/2013 14:07,29,12/02/2013 14:07,2362,12/02/2013 14:07,35,12/02/2013 14:07,52,12/02/2013 14:08,2362,12/02/2013 14:08,23,12/02/2013 14:08,0
47,75,12/02/2013 14:09,76,12/02/2013 14:09,77,12/02/2013 14:09,873,12/02/2013 14:09,75,12/02/2013 14:09,22,12/02/2013 14:09,77,12/02/2013 14:09,75,12/02/2013 14:09,76,12/02/2013 14:09,77,12/02/2013 14:09,0
48,12377,12/02/2013 14:30,9864,12/02/2013 14:30,10421,12/02/2013 14:30,9864,12/02/2013 14:30,29,12/02/2013 14:30,33,12/02/2013 14:30,9865,12/02/2013 14:30,9869,12/02/2013 14:30,35,12/02/2013 14:30,9865,12/02/2013 14:30,0
49,5780,12/02/2013 14:34,29,12/02/2013 14:34,19884,12/02/2013 14:34,913,12/02/2013 14:34,19885,12/02/2013 14:34,913,12/02/2013 14:34,5784,12/02/2013 14:34,19884,12/02/2013 14:35,5780,12/02/2013 14:35,19884,12/02/2013 14:35,0
50,8598,12/02/2013 14:38,3444,12/02/2013 14:38,3442,12/02/2013 14:38,29,12/02/2013 14:38,33,12/02/2013 14:38,3442,12/02/2013 14:38,335,12/02/2013 14:38,8598,12/02/2013 14:38,23,12/02/2013 14:38,3444,12/02/2013 14:38,0
51,4199,12/02/2013 14:39,350,12/02/2013 14:39,342,12/02/2013 14:39,350,12/02/2013 14:40,21,12/02/2013 14:40,733,12/02/2013 14:40,350,12/02/2013 14:40,733,12/02/2013 14:40,177,12/02/2013 14:41,178,12/02/2013 14:41,0
52,5479,12/02/2013 14:40,8598,12/02/2013 14:40,3442,12/02/2013 14:40,5477,12/02/2013 14:40,33,12/02/2013 14:40,35,12/02/2013 14:40,3442,12/02/2013 14:40,533,12/02/2013 14:40,11412,12/02/2013 14:40,143,12/02/2013 14:40,0
53,1004,12/02/2013 14:50,733,12/02/2013 14:50,733,12/02/2013 14:50,1004,12/02/2013 14:50,733,12/02/2013 14:50,733,12/02/2013 14:51,1004,12/02/2013 14:51,1004,12/02/2013 14:51,56,12/02/2013 14:51,55,12/02/2013 14:51,0
54,1004,12/02/2013 14:54,1004,12/02/2013 14:54,1004,12/02/2013 14:55,1004,12/02/2013 14:55,1004,12/02/2013 14:55,1004,12/02/2013 14:55,1004,12/02/2013 14:56,1004,12/02/2013 14:56,1004,12/02/2013 14:56,23,12/02/2013 15:03,0
55,80,12/02/2013 15:01,80,12/02/2013 15:02,77,12/02/2013 15:02,75,12/02/2013 15:02,77,12/02/2013 15:02,80,12/02/2013 15:02,80,12/02/2013 15:02,80,12/02/2013 15:03,80,12/02/2013 15:03,80,12/02/2013 15:03,0
56,39023,12/02/2013 15:06,39024,12/02/2013 15:06,39023,12/02/2013 15:06,39024,12/02/2013 15:06,39023,12/02/2013 15:06,39023,12/02/2013 15:06,39024,12/02/2013 15:06,7827,12/02/2013 15:06,7827,12/02/2013 15:06,39024,12/02/2013 15:06,0
57,38,12/02/2013 15:07,2983,12/02/2013 15:07,258,12/02/2013 15:07,38,12/02/2013 15:07,8796,12/02/2013 15:07,833,12/02/2013 15:07,2983,12/02/2013 15:07,151,12/02/2013 15:07,2984,12/02/2013 15:07,834,12/02/2013 15:07,0
58,39034,12/02/2013 15:20,35,12/02/2013 15:20,29,12/02/2013 15:20,33,12/02/2013 15:20,29,12/02/2013 15:20,39034,12/02/2013 15:20,35,12/02/2013 15:20,29,12/02/2013 15:20,33,12/02/2013 15:20,39034,12/02/2013 15:20,0
59,39034,12/02/2013 15:22,29,12/02/2013 15:22,39034,12/02/2013 15:22,35,12/02/2013 15:22,33,12/02/2013 15:22,29,12/02/2013 15:22,912,12/02/2013 15:23,913,12/02/2013 15:23,914,12/02/2013 15:23,167,12/02/2013 15:23,0
60,3346,12/02/2013 15:23,3346,12/02/2013 15:23,3359,12/02/2013 15:25,3346,12/02/2013 15:25,3346,12/02/2013 15:26,3346,12/02/2013 15:30,3346,12/02/2013 15:30,1007,12/02/2013 15:51,1008,12/02/2013 15:51,1007,12/02/2013 15:51,0
61,55,12/02/2013 15:26,56,12/02/2013 15:26,55,12/02/2013 15:28,55,12/02/2013 15:28,55,12/02/2013 15:28,55,12/02/2013 15:29,55,12/02/2013 15:29,55,12/02/2013 15:30,55,12/02/2013 15:31,55,12/02/2013 15:31,0
62,23,12/02/2013 15:30,21,12/02/2013 15:30,812,12/02/2013 15:30,21,12/02/2013 15:30,22,12/02/2013 15:30,812,12/02/2013 15:30,23,12/02/2013 15:30,23,12/02/2013 15:30,21,12/02/2013 15:30,814,12/02/2013 15:30,0
63,570,12/02/2013 15:30,22,12/02/2013 15:30,23,12/02/2013 15:30,814,12/02/2013 15:30,570,12/02/2013 15:30,1039,12/02/2013 15:30,39,12/02/2013 15:30,1039,12/02/2013 15:30,812,12/02/2013 15:30,39,12/02/2013 15:30,0
64,22,12/02/2013 15:35,23,12/02/2013 15:35,812,12/02/2013 15:35,23,12/02/2013 15:35,812,12/02/2013 15:35,22,12/02/2013 15:35,39,12/02/2013 15:35,39,12/02/2013 15:35,23,12/02/2013 15:35,22,12/02/2013 15:35,0
65,10398,12/02/2013 15:35,10399,12/02/2013 15:35,10398,12/02/2013 15:35,23,12/02/2013 15:36,6225,12/02/2013 15:36,21,12/02/2013 15:36,896,12/02/2013 15:36,10399,12/02/2013 15:36,10399,12/02/2013 15:36,10399,12/02/2013 15:36,0
66,6225,12/02/2013 15:46,896,12/02/2013 15:46,6225,12/02/2013 15:46,1994,12/02/2013 15:46,6225,12/02/2013 15:46,896,12/02/2013 15:46,896,12/02/2013 15:46,896,12/02/2013 15:46,6225,12/02/2013 15:46,45,12/02/2013 15:46,0
67,747,12/02/2013 15:48,23,12/02/2013 15:48,52,12/02/2013 15:48,513,12/02/2013 15:48,23,12/02/2013 15:48,53,12/02/2013 15:48,747,12/02/2013 15:48,1116,12/02/2013 15:48,747,12/02/2013 15:48,747,12/02/2013 15:48,0
68,21,12/02/2013 15:59,45,12/02/2013 15:59,21,12/02/2013 15:59,21,12/02/2013 15:59,22,12/02/2013 15:59,23,12/02/2013 15:59,21,12/02/2013 16:00,23,12/02/2013 16:00,22,12/02/2013 16:00,41479,12/02/2013 16:00,0
69,31,12/02/2013 16:14,29,12/02/2013 16:14,41,12/02/2013 16:14,37,12/02/2013 16:15,23,12/02/2013 16:17,52,12/02/2013 16:17,23,12/02/2013 16:17,2164,12/02/2013 16:17,23,12/02/2013 16:17,2164,12/02/2013 16:17,0
70,270,12/02/2013 16:25,270,12/02/2013 16:25,270,12/02/2013 16:32,21,12/02/2013 16:32,21,12/02/2013 16:32,7832,12/02/2013 16:32,21,12/02/2013 16:32,7832,12/02/2013 16:32,30,12/02/2013 16:32,7832,12/02/2013 16:32,1
71,167,12/02/2013 16:26,167,12/02/2013 16:26,173,12/02/2013 16:26,167,12/02/2013 16:26,3,12/02/2013 16:26,173,12/02/2013 16:26,167,12/02/2013 16:26,3,12/02/2013 16:26,384,12/02/2013 16:27,167,12/02/2013 16:27,0
72,677,12/02/2013 16:30,677,12/02/2013 16:30,23,12/02/2013 16:30,676,12/02/2013 16:31,679,12/02/2013 16:31,23,12/02/2013 16:31,39,12/02/2013 16:31,676,12/02/2013 16:31,679,12/02/2013 16:31,22,12/02/2013 16:31,0
73,29,12/02/2013 16:32,7832,12/02/2013 16:33,7832,12/02/2013 16:33,29,12/02/2013 16:33,37,12/02/2013 16:33,7832,12/02/2013 16:33,29,12/02/2013 16:33,7832,12/02/2013 16:33,29,12/02/2013 16:33,270,12/02/2013 16:33,1
74,1516,12/02/2013 16:33,1515,12/02/2013 16:33,1514,12/02/2013 16:33,1518,12/02/2013 16:33,1521,12/02/2013 16:33,1523,12/02/2013 16:33,1519,12/02/2013 16:33,1524,12/02/2013 16:33,1517,12/02/2013 16:33,855,12/02/2013 16:33,1
75,1520,12/02/2013 16:33,1522,12/02/2013 16:33,1522,12/02/2013 16:34,1515,12/02/2013 16:34,1515,12/02/2013 16:34,1524,12/02/2013 16:34,1514,12/02/2013 16:34,1515,12/02/2013 16:34,1520,12/02/2013 16:34,1521,12/02/2013 16:34,1
76,1519,12/02/2013 16:34,1524,12/02/2013 16:34,855,12/02/2013 16:34,1515,12/02/2013 16:34,1514,12/02/2013 16:34,1524,12/02/2013 16:34,392,12/02/2013 16:34,1519,12/02/2013 16:34,1514,12/02/2013 16:34,855,12/02/2013 16:34,1
77,855,12/02/2013 16:34,855,12/02/2013 16:35,1520,12/02/2013 16:35,1514,12/02/2013 16:35,1515,12/02/2013 16:35,1514,12/02/2013 16:35,855,12/02/2013 16:35,1515,12/02/2013 16:35,1514,12/02/2013 16:35,1521,12/02/2013 16:35,1
78,1520,12/02/2013 16:35,855,12/02/2013 16:35,1524,12/02/2013 16:35,1514,12/02/2013 16:35,1521,12/02/2013 16:35,855,12/02/2013 16:35,1524,12/02/2013 16:35,1520,12/02/2013 16:35,855,12/02/2013 16:35,1514,12/02/2013 16:35,1
79,855,12/02/2013 16:35,1515,12/02/2013 16:36,1514,12/02/2013 16:36,23,12/02/2013 16:36,2587,12/02/2013 16:36,1518,12/02/2013 16:36,1521,12/02/2013 16:36,1516,12/02/2013 16:36,1517,12/02/2013 16:36,855,12/02/2013 16:36,1
80,1520,12/02/2013 16:36,1514,12/02/2013 16:36,1515,12/02/2013 16:36,1519,12/02/2013 16:36,1523,12/02/2013 16:37,1515,12/02/2013 16:37,1514,12/02/2013 16:37,1524,12/02/2013 16:37,1517,12/02/2013 16:37,1521,12/02/2013 16:37,1
81,1516,12/02/2013 16:37,1518,12/02/2013 16:37,1519,12/02/2013 16:37,29,12/02/2013 16:37,855,12/02/2013 16:37,1524,12/02/2013 16:37,1521,12/02/2013 16:37,1518,12/02/2013 16:37,1515,12/02/2013 16:37,1514,12/02/2013 16:37,1
82,855,12/02/2013 16:37,1524,12/02/2013 16:37,1514,12/02/2013 16:37,855,12/02/2013 16:37,1518,12/02/2013 16:37,1518,12/02/2013 16:37,1521,12/02/2013 16:37,1514,12/02/2013 16:37,855,12/02/2013 16:37,1515,12/02/2013 16:37,1
83,1514,12/02/2013 16:37,1520,12/02/2013 16:37,1524,12/02/2013 16:37,855,12/02/2013 16:37,1518,12/02/2013 16:37,1521,12/02/2013 16:37,1516,12/02/2013 16:37,1519,12/02/2013 16:37,2587,12/02/2013 16:37,1516,12/02/2013 16:38,1
84,1514,12/02/2013 16:38,1517,12/02/2013 16:38,1515,12/02/2013 16:38,855,12/02/2013 16:38,1517,12/02/2013 16:38,1516,12/02/2013 16:38,1514,12/02/2013 16:38,855,12/02/2013 16:38,1515,12/02/2013 16:38,1514,12/02/2013 16:38,1
85,855,12/02/2013 16:38,1520,12/02/2013 16:38,1521,12/02/2013 16:38,1520,12/02/2013 16:38,1521,12/02/2013 16:38,855,12/02/2013 16:38,1514,12/02/2013 16:38,1515,12/02/2013 16:39,1514,12/02/2013 16:39,1520,12/02/2013 16:39,1
86,855,12/02/2013 16:39,1516,12/02/2013 16:39,1518,12/02/2013 16:39,1519,12/02/2013 16:39,1521,12/02/2013 16:39,1523,12/02/2013 16:39,1517,12/02/2013 16:39,1521,12/02/2013 16:39,855,12/02/2013 16:39,1523,12/02/2013 16:39,1
87,1518,12/02/2013 16:39,1515,12/02/2013 16:39,1514,12/02/2013 16:39,1520,12/02/2013 16:39,1516,12/02/2013 16:39,1517,12/02/2013 16:39,855,12/02/2013 16:39,1520,12/02/2013 16:39,1516,12/02/2013 16:39,1514,12/02/2013 16:39,1
88,855,12/02/2013 16:39,855,12/02/2013 16:39,1523,12/02/2013 16:39,1517,12/02/2013 16:39,1514,12/02/2013 16:39,1515,12/02/2013 16:39,1518,12/02/2013 16:39,1518,12/02/2013 16:39,1517,12/02/2013 16:39,1517,12/02/2013 16:39,1
89,1514,12/02/2013 16:40,855,12/02/2013 16:40,1516,12/02/2013 16:40,1514,12/02/2013 16:40,1521,12/02/2013 16:40,855,12/02/2013 16:40,1515,12/02/2013 16:40,1516,12/02/2013 16:40,1516,12/02/2013 16:40,855,12/02/2013 16:40,1
90,45,12/02/2013 16:40,29,12/02/2013 16:40,21,12/02/2013 16:40,21,12/02/2013 16:40,22,12/02/2013 16:40,23,12/02/2013 16:40,173,12/02/2013 16:40,22,12/02/2013 16:40,23,12/02/2013 16:40,21,12/02/2013 16:40,0
91,1514,12/02/2013 16:40,1514,12/02/2013 16:40,1515,12/02/2013 16:40,1514,12/02/2013 16:40,1518,12/02/2013 16:40,1523,12/02/2013 16:40,855,12/02/2013 16:40,1518,12/02/2013 16:40,1523,12/02/2013 16:40,855,12/02/2013 16:40,1
92,1514,12/02/2013 16:40,1516,12/02/2013 16:40,1514,12/02/2013 16:40,1515,12/02/2013 16:40,855,12/02/2013 16:40,1520,12/02/2013 16:40,1517,12/02/2013 16:40,1519,12/02/2013 16:40,1514,12/02/2013 16:40,1517,12/02/2013 16:40,1
93,1519,12/02/2013 16:40,1516,12/02/2013 16:40,1520,12/02/2013 16:40,855,12/02/2013 16:40,1514,12/02/2013 16:40,1514,12/02/2013 16:43,1515,12/02/2013 16:43,1514,12/02/2013 16:43,1516,12/02/2013 16:43,1517,12/02/2013 16:43,1
94,73,12/02/2013 16:43,1547,12/02/2013 16:43,570,12/02/2013 16:43,812,12/02/2013 16:43,812,12/02/2013 16:43,812,12/02/2013 16:44,1039,12/02/2013 16:46,847,12/02/2013 16:46,22,12/02/2013 16:47,570,12/02/2013 16:47,0
95,855,12/02/2013 16:43,1520,12/02/2013 16:43,1520,12/02/2013 16:43,1516,12/02/2013 16:43,1514,12/02/2013 16:43,855,12/02/2013 16:43,1517,12/02/2013 16:43,1523,12/02/2013 16:43,1520,12/02/2013 16:43,1515,12/02/2013 16:43,1
96,1514,12/02/2013 16:43,855,12/02/2013 16:43,1517,12/02/2013 16:43,1514,12/02/2013 16:43,1520,12/02/2013 16:43,1523,12/02/2013 16:43,1517,12/02/2013 16:43,1514,12/02/2013 16:43,855,12/02/2013 16:43,1517,12/02/2013 16:44,1
97,1514,12/02/2013 16:44,1515,12/02/2013 16:44,1514,12/02/2013 16:44,855,12/02/2013 16:44,1521,12/02/2013 16:44,1519,12/02/2013 16:44,1524,12/02/2013 16:44,1524,12/02/2013 16:44,1519,12/02/2013 16:44,1517,12/02/2013 16:44,1
98,855,12/02/2013 16:44,1514,12/02/2013 16:44,1515,12/02/2013 16:44,1514,12/02/2013 16:44,1521,12/02/2013 16:44,1517,12/02/2013 16:44,1518,12/02/2013 16:44,1519,12/02/2013 16:44,855,12/02/2013 16:44,1514,12/02/2013 16:44,1
99,1521,12/02/2013 16:44,1517,12/02/2013 16:44,1519,12/02/2013 16:44,1514,12/02/2013 16:45,855,12/02/2013 16:45,855,12/02/2013 16:45,1520,12/02/2013 16:45,1518,12/02/2013 16:45,1515,12/02/2013 16:45,1514,12/02/2013 16:45,1
100,1515,12/02/2013 16:45,1514,12/02/2013 16:45,1521,12/02/2013 16:45,1519,12/02/2013 16:45,855,12/02/2013 16:45,1521,12/02/2013 16:45,855,12/02/2013 16:45,1514,12/02/2013 16:45,1521,12/02/2013 16:45,1519,12/02/2013 16:45,1
